ORF	SMF	SDV
YDL179W	0.971211	0.009007
YDL180W	0.837637	0.014550
YDL181W	0.972033	0.007140
YDL182W	0.937535	0.008456
YDL183C	0.988559	0.012630
YDL184C	0.989966	0.011804
YDL185W	0.986554	0.006859
YDL186W	0.958995	0.013377
YDL187C	1.006432	0.012753
YDL188C	1.002270	0.008713
YDL189W	1.020869	0.007350
YDL190C	0.911854	0.008959
YDL191W	0.897839	0.016959
YDL192W	0.796428	0.029109
YDL194W	0.950172	0.010058
YDL197C	1.016525	0.010512
YDL198C	NaN	NaN
YDL199C	1.040098	0.008017
YDL200C	1.030087	0.012415
YDL201W	0.942085	0.008149
YDL202W	0.347109	0.042290
YDL203C	1.001723	0.020114
YDL204W	1.005246	0.011446
YDL206W	0.984837	0.011818
YDL210W	1.063706	0.007422
YDL211C	1.007067	0.005317
YDL213C	0.947414	0.009686
YDL214C	0.984299	0.007113
YDL215C	0.997655	0.007565
YDL216C	1.019712	0.010022
YDL218W	1.030562	0.007313
YDL219W	1.001027	0.006919
YDL222C	1.011919	0.010006
YDL223C	1.026567	0.008489
YDL224C	0.981175	0.012241
YDL225W	NaN	NaN
YDL226C	0.935048	0.011057
YDL227C	1.031582	0.000857
YDL229W	1.010039	0.007178
YDL230W	1.032769	0.009613
YDL231C	1.029646	0.009372
YDL232W	NaN	NaN
YDL233W	1.021857	0.007708
YDL234C	1.004127	0.008050
YDL236W	1.046083	0.010290
YDL237W	1.041617	0.008130
YDL238C	1.059967	0.007172
YDL239C	1.022675	0.008036
YDL240W	1.009042	0.007549
YDL241W	1.055664	0.012368
YDL242W	1.021137	0.010920
YDL243C	0.974083	0.009211
YDL244W	1.013701	0.006325
YDL245C	0.991881	0.008846
YDL246C	1.027601	0.007072
YDL247W	1.043843	0.007641
YDL248W	1.065842	0.019393
YDR001C	1.000785	0.009602
YDR003W	1.015368	0.006938
YDR003W-A	NaN	NaN
YDR004W	0.903204	0.009139
YDR005C	0.803666	0.049295
YDR006C	0.982283	0.009048
YDR007W	0.996351	0.005738
YDR008C	NaN	NaN
YDR009W	1.016965	0.006845
YDR010C	1.028901	0.010834
YDR011W	1.000333	0.011199
YDR012W	1.026698	0.007277
YDR014W	0.983547	0.015807
YDR015C	1.032630	0.015251
YDR017C	0.628974	0.039077
YDR018C	1.024522	0.006294
YDR019C	1.017344	0.007181
YDR020C	1.066752	0.008300
YDR022C	1.034913	0.010896
YDR024W	0.749448	0.021882
YDR025W	0.620178	0.014141
YDR026C	1.005135	0.006057
YDR027C	0.450951	0.010571
YDR029W	1.002539	0.007836
YDR030C	1.009780	0.005889
YDR031W	1.038567	0.006593
YDR032C	1.074266	0.008240
YDR033W	1.060494	0.006480
YDR034C	NaN	NaN
YDR034C-A	1.067650	0.006525
YDR034W-B	1.066545	0.009688
YDR035W	1.009278	0.007217
YDR036C	1.040986	0.007117
YDR038C	1.071314	0.008600
YDR039C	NaN	NaN
YDR040C	1.014554	0.011051
YDR042C	1.028889	0.007997
YDR043C	1.052250	0.009313
YDR046C	1.050502	0.012121
YDR048C	NaN	NaN
YDR049W	0.871213	0.012025
YDR051C	0.965019	0.013711
YDR055W	1.026761	0.009911
YDR056C	1.004128	0.006979
YDR057W	1.045704	0.005850
YDR058C	0.983227	0.006825
YDR059C	1.041429	0.007064
YDR061W	1.013141	0.005802
YDR063W	1.006141	0.010352
YDR065W	0.432898	0.016775
